DateTime	Tweet Id	Text	Username
2022-05-24 15:49:11+00:00	1529127379322474501	"“The superstars on this team deserve a huge amount of blame…I frankly don’t share Mike’s perspective on feeling positive about this team.” 
- @ChrisWittyngham on the Florida Panthers’ elimination. #Rawr 
🥅 https://t.co/vj0bFXyOBH
📺 https://t.co/2MdaM3y5jA https://t.co/LzKuvXYo6w"	LeBatardShow
2022-05-24 15:34:11+00:00	1529123601978368001	#poll Do cars tend to explode?	LeBatardShow
2022-05-24 15:17:17+00:00	1529119349889503234	"“I do not regret wanting the Tampa Bay Lightning.” - @MichaelRyanRuiz on the Florida Panthers being swept after such a promising season. #TimeToHunt  
🏒 https://t.co/vj0bFXyOBH
📺 https://t.co/2MdaM3y5jA https://t.co/X47MLvAK6a"	LeBatardShow
2022-05-24 14:22:22+00:00	1529105532371476482	"“Women’s sports are hot right now.” - @McNuttMonica and @ReneeMontgomery have an in depth conversation about the importance of female representation in today’s society. 
@MontgomeryCoPod @sirenagrace_ 
👑 https://t.co/d0ZpUnHt5P
👑 https://t.co/FborcgH2hu https://t.co/RRd59el6fm"	LeBatardShow
2022-05-24 14:06:54+00:00	1529101636492304384	"#STUPODITY Scott Van Pelt joins Stupodity to discuss the PGA Championship, getting confused for Rex Chapman at the airport and to play it cool about his relationship with Max Homa.
📸 https://t.co/8sjs709QJf 📸 https://t.co/F9ohlOF9be https://t.co/dQzF465RtI"	LeBatardShow
2022-05-24 13:43:39+00:00	1529095788726571008	@babyballa44 @jessica_smetana https://t.co/Ry7y2GsdqQ	LeBatardShow
2022-05-24 13:43:14+00:00	1529095680945442818	@jessica_smetana @babyballa44 https://t.co/z3CWuPmqjZ	LeBatardShow
2022-05-24 13:40:58+00:00	1529095110918651912	"#CINEPHILE Better Call Saul. Director &amp; college friend of Adnan, @directedbyRT joins us to discuss his show. Will Arnett has it figured out. Chris’ B-Day celebration. This Is 40. Adnan went to Chippendales?! 
🎬 https://t.co/WrWOfxfGAV 🎬 https://t.co/N9ogO225JY https://t.co/BKsad2RRci"	LeBatardShow
2022-05-24 13:25:12+00:00	1529091144046485504	"“I took ‘Celtics in 6’ this morning .” 
- @MichaelRyanRuiz https://t.co/KeDNTqhgEZ"	LeBatardShow
2022-05-24 03:16:37+00:00	1528937987110756352	@KenTremendous https://t.co/qnkdwfOkLV	LeBatardShow
2022-05-24 01:35:56+00:00	1528912652826714112	Same. https://t.co/RysLfjqO4L	LeBatardShow
2022-05-24 01:14:55+00:00	1528907362224021504	@nba_paint @mikegolicjr https://t.co/00FV3xLZAd	LeBatardShow
2022-05-23 20:39:20+00:00	1528838009017204744	"“Charles Barkley getting off a horse.”
Funniest Thing From The Sports Weekend 
Presented by @cbdmd_usa 🌱
🪴 https://t.co/Gd3w1jp0n5
📺 https://t.co/2MdaM3y5jA https://t.co/nOZMBHxs9W"	LeBatardShow
